Date,Close/Last,Volume,Open,High,Low
07/27/2021,$128.88,571633,$127.97,$129.1,$127.095
07/26/2021,$128.71,694746,$128.65,$129.93,$127.84
07/23/2021,$129.09,648307,$127.31,$129.575,$126.77
07/22/2021,$126.37,966556,$132.15,$132.15,$125.995
07/21/2021,$129.17,667932,$128.95,$129.95,$128.525
07/20/2021,$128.33,751925,$126.45,$129.31,$125.4
07/19/2021,$125.63,638578,$126.05,$126.655,$124.62
07/16/2021,$127.61,382306,$129.65,$129.89,$127.38
07/15/2021,$129.01,437494,$128.05,$129.61,$128.05
07/14/2021,$128.79,527205,$128.15,$128.88,$127.35
07/13/2021,$127.66,516500,$128.77,$129.22,$127.47
07/12/2021,$129.5,486299,$128.76,$130,$128.02
07/09/2021,$129.52,642858,$129.11,$129.745,$128.19
07/08/2021,$127.15,712263,$126.85,$128.55,$126.4677
07/07/2021,$128.62,421788,$126.82,$129.195,$126.68
07/06/2021,$127.44,655390,$128.92,$129.16,$126.385
07/02/2021,$129.06,452005,$128.66,$129.39,$128.17
07/01/2021,$128.31,506314,$126.99,$128.46,$126.54
06/30/2021,$126.47,471141,$126.6,$127.21,$125.84
06/29/2021,$126.71,385006,$126.31,$127.57,$126.31
06/28/2021,$125.51,439805,$127.24,$127.285,$125.15
06/25/2021,$127.65,711857,$126.5,$127.92,$126.5
06/24/2021,$126.16,447546,$126.01,$126.62,$125.25
06/23/2021,$125.32,599274,$125.24,$126.215,$124.4
06/22/2021,$124.95,607302,$124.52,$125.52,$123.09
06/21/2021,$124.42,706037,$122.43,$124.71,$122.07
06/18/2021,$121.12,1703577,$120.85,$121.48,$120.07
06/17/2021,$122.88,936038,$125.92,$126.06,$121.85
06/16/2021,$125.85,773121,$126.92,$127.38,$125.65
06/15/2021,$127.27,692377,$127.21,$127.345,$126.01
06/14/2021,$127.61,684202,$128.6,$128.73,$126.81
06/11/2021,$129.03,519607,$128.25,$129.3,$128.05
06/10/2021,$127.71,470201,$129.29,$129.6,$127.61
06/09/2021,$128.39,700320,$129.09,$129.69,$128.06
06/08/2021,$129.42,656606,$127.31,$129.715,$127.31
06/07/2021,$127.87,620230,$130.17,$130.19,$127.61
06/04/2021,$129.95,480391,$129.56,$129.96,$128.33
06/03/2021,$129.16,622703,$129.54,$130.01,$128.35
06/02/2021,$130.82,619910,$132.51,$132.51,$130.515
06/01/2021,$132.09,684754,$132,$133.08,$131.39
05/28/2021,$131.12,676880,$130.55,$131.77,$130.11
05/27/2021,$130.46,1268810,$132.04,$132.49,$130.37
05/26/2021,$130.85,779670,$130.68,$131.52,$129.625
05/25/2021,$129.98,911302,$131.25,$131.83,$129.77
05/24/2021,$131.4,558860,$132,$132.165,$131
05/21/2021,$131.43,956101,$130.94,$133.31,$130.94
05/20/2021,$130.81,773748,$129.66,$131.1,$128.72
05/19/2021,$129.64,1501060,$129.55,$130.3,$128.44
05/18/2021,$131.18,873200,$132.43,$133,$131.06
05/17/2021,$132.35,623566,$131.98,$133.34,$131.4
05/14/2021,$131.96,573764,$131.23,$132.24,$130.14
05/13/2021,$130.95,866543,$127.88,$131.46,$127.82
05/12/2021,$127.47,798473,$131.13,$131.555,$127.34
05/11/2021,$131.24,744276,$132.86,$133.54,$130.71
05/10/2021,$133.6,613076,$134.31,$135.93,$133.5
05/07/2021,$133.46,583651,$131.39,$133.965,$130.89
05/06/2021,$132.38,657176,$132.61,$132.8727,$131.145
05/05/2021,$131.65,710983,$130.24,$132.4,$129.56
05/04/2021,$130.26,976000,$127.76,$130.35,$127.01
05/03/2021,$127.25,687651,$125.95,$128.46,$125.705
04/30/2021,$124.97,1406298,$125.68,$125.74,$124.5235
04/29/2021,$125.74,1130671,$125.33,$127.44,$125.33
04/28/2021,$124.69,1008625,$123.59,$124.75,$122.8885
04/27/2021,$123.16,875252,$122.67,$123.345,$121.59
04/26/2021,$122.21,840811,$123.01,$123.23,$121.46
04/23/2021,$122.33,756328,$120.71,$122.94,$119.52
04/22/2021,$119.36,1231069,$120.95,$123.22,$118.59
04/21/2021,$121.24,785840,$119.92,$121.92,$118.92
04/20/2021,$119.25,868952,$119.53,$120,$118.565
04/19/2021,$119.4,741275,$119.68,$119.98,$118.86
04/16/2021,$120.02,705247,$119.38,$120.56,$118.99
04/15/2021,$118.45,484611,$118.16,$118.53,$117.46
04/14/2021,$117.66,592977,$115.66,$118.16,$115.66
04/13/2021,$115.99,850636,$116.67,$116.75,$115.19
04/12/2021,$117.75,479639,$117.5,$118.02,$116.82
04/09/2021,$116.89,1015132,$116.46,$116.97,$115.3201
04/08/2021,$115.72,614214,$116.15,$116.5655,$115.27
04/07/2021,$116.68,529782,$117.15,$117.82,$116.15
04/06/2021,$117.47,580542,$117.1,$118.1299,$116.5
04/05/2021,$117.23,574774,$117.5,$118.26,$116.39
04/01/2021,$116.62,522374,$115.97,$116.67,$115.19
03/31/2021,$115.59,903064,$116.57,$117.15,$115.22
03/30/2021,$117.57,561454,$117.26,$117.86,$116.66
03/29/2021,$117.16,531979,$117.5,$118.51,$116.8
03/26/2021,$118.55,654668,$117.69,$118.62,$116.95
03/25/2021,$117.03,701473,$115.2,$117.18,$113.64
03/24/2021,$114.81,689894,$114.75,$116.38,$114.74
03/23/2021,$114.78,750425,$114.28,$116.5,$114.08
03/22/2021,$115.33,891686,$116.84,$116.89,$114.46
03/19/2021,$117.31,3229544,$115.66,$118,$114.02
03/18/2021,$115.94,714291,$114.64,$117.53,$114.5
03/17/2021,$114.62,619938,$115.02,$116.15,$114.4
03/16/2021,$114.45,571811,$115.33,$115.33,$113.08
03/15/2021,$115.98,803085,$114.14,$116.06,$112.96
03/12/2021,$114.59,584281,$114.86,$115.72,$113.9566
03/11/2021,$113.57,723367,$114.43,$115.47,$113.33
03/10/2021,$115.16,538160,$113.94,$115.75,$112.79
03/09/2021,$113.49,1167256,$116.66,$117,$113.46
03/08/2021,$116.87,1357973,$113.43,$118.8385,$112.64
03/05/2021,$112.75,864894,$108.74,$113.17,$108.15
03/04/2021,$107.59,983811,$109.1,$110.92,$105.853
03/03/2021,$110.28,977218,$109.55,$112.71,$109.28
03/02/2021,$109.19,948131,$108.11,$109.92,$106.56
03/01/2021,$108.31,1033923,$106.39,$109.14,$106.16
02/26/2021,$105.35,1511230,$106.2,$107.07,$104.87
02/25/2021,$105.39,552075,$106.31,$107.12,$104.84
02/24/2021,$106.31,676786,$104.85,$107.06,$104.36
02/23/2021,$104.85,1035095,$105,$106.38,$104.24
02/22/2021,$104.57,850939,$101.46,$105.05,$101.43
02/19/2021,$102.36,921304,$101.77,$102.9,$100.325
02/18/2021,$101.08,945347,$98.24,$101.66,$98.24
02/17/2021,$98.94,1103442,$101.25,$101.4,$98.23
02/16/2021,$101.92,858061,$100.08,$102.63,$99.69
02/12/2021,$99.32,897241,$99.62,$101.23,$98.66
02/11/2021,$100.53,718735,$103.11,$103.23,$100.4
02/10/2021,$103.11,557289,$104.13,$104.29,$102.43
02/09/2021,$103.66,648371,$103.65,$104.28,$102.97
02/08/2021,$103.58,682393,$102,$103.63,$101.74
02/05/2021,$101.65,569525,$101,$101.74,$100.18
02/04/2021,$100.41,707003,$99,$100.46,$98.3952
02/03/2021,$98.42,489210,$96.96,$98.92,$96.43
02/02/2021,$97.47,896574,$95.18,$98,$94.87
02/01/2021,$94.69,759604,$94.15,$95.45,$93.66
01/29/2021,$93.88,2699872,$96.74,$97.58,$93.62
01/28/2021,$96.95,906340,$99.65,$100.33,$96.87
01/27/2021,$98.8,1228561,$100.07,$100.485,$96.2
01/26/2021,$101.5,664217,$101.49,$102.05,$100
01/25/2021,$101.2,961335,$101.48,$102.26,$100
01/22/2021,$101.64,701928,$101.29,$101.9,$100.27
01/21/2021,$102.22,941384,$99.92,$102.5,$99.92
01/20/2021,$100.01,875770,$99.26,$100.73,$98.25
01/19/2021,$99.55,732793,$102.33,$102.715,$99.1
01/15/2021,$102.15,979602,$104.84,$104.85,$101.69
01/14/2021,$104.95,542586,$106.38,$106.84,$104.92
01/13/2021,$105.89,748056,$107.8,$108.185,$105.45
01/12/2021,$108.3,887120,$104.87,$108.55,$104.41
