12.68,23.97,20.73,1.68,37.59,4.04,4.17,48.0,1.0
13.59,19.31,19.98,2.22,48.54,6.2,5.18,43.56,0.0
11.25,31.61,23.88,1.9,54.35,nan,3.16,38.87,1.0
11.27,19.33,25.01,1.55,102.04,nan,5.17,34.21,1.0
12.4,102.45,35.89,1.64,67.57,nan,0.98,30.51,0.0
9.45,nan,41.77,1.35,38.91,nan,-0.54,27.53,1.0
8.37,nan,36.21,1.35,23.98,2.38,-0.88,29.12,0.0
5.68,44.88,26.39,3.14,29.41,3.61,2.23,173.4,0.0
4.96,32.88,20.4,3.01,20.58,2.94,3.04,167.29,1.0
4.09,54.47,21.02,2.46,17.73,1.85,1.84,137.06,1.0
3.75,22.18,20.21,2.12,17.01,3.14,4.51,124.81,1.0
3.46,23.74,16.34,1.95,15.58,2.07,4.21,118.84,1.0
3.93,46.62,17.66,2.07,17.67,1.72,2.15,126.71,0.0
4.18,24.98,17.44,3.66,17.64,3.25,4.0,70.22,1.0
3.49,15.34,12.51,3.06,14.33,3.12,6.52,56.9,1.0
2.62,13.23,9.83,2.42,10.41,2.77,7.56,50.26,1.0
5.38,135.42,79.13,nan,37.04,1.64,0.74,146.56,1.0
4.09,30.11,21.48,nan,28.9,2.53,3.32,111.67,1.0
3.63,19.88,7.52,68.46,24.27,2.05,5.03,80.57,1.0
3.75,29.15,20.11,14.83,24.69,1.94,3.43,82.34,1.0
3.87,29.22,18.04,13.75,25.97,1.8,3.42,82.24,1.0
4.74,32.98,24.23,15.33,31.85,1.86,3.03,89.92,0.0
3.81,30.28,103.01,11.68,26.18,1.46,3.3,61.77,1.0
4.01,7839.0,20.55,13.24,28.65,1.49,0.01,57.37,1.0
3.03,28.83,17.59,7.77,20.66,1.11,3.47,38.25,1.0
12.4,nan,45.32,5.52,60.24,nan,-2.92,39.77,0.0
7.46,15.63,18.46,2.97,30.49,1.91,6.4,21.72,1.0
7.66,21.29,18.21,3.4,32.26,0.99,4.7,18.72,1.0
7.17,nan,21.0,3.71,53.48,5.82,-2.08,15.35,1.0
4.49,nan,17.0,2.54,28.57,1.63,-3.37,9.64,1.0
7.56,nan,45.92,3.76,50.0,0.86,-3.72,14.18,0.0
19.44,nan,636.77,6.54,181.82,4.92,-4.25,20.92,0.0
53.58,nan,2974.26,51.45,-526.32,nan,-0.49,36.11,0.0
7.47,23.32,20.9,5.1,17.51,0.8,4.29,610.0,0.0
8.77,25.58,23.57,6.6,24.69,1.13,3.91,557.32,1.0
7.95,40.98,18.09,5.75,20.2,0.8,2.44,346.24,1.0
14.8,47.96,28.06,8.97,26.11,0.92,2.09,433.39,0.0
12.46,46.95,24.58,6.19,20.08,0.79,2.13,216.23,1.0
15.84,21.88,26.87,6.89,28.82,0.94,4.57,194.52,1.0
24.23,52.25,46.87,12.87,45.66,1.67,1.91,250.81,0.0
